n=32 T= 64 b=2.0 | real r1  0.882 sE 0.631 | mis r1  0.820 | v2: r1  0.801 full 0.00 robust 0.00 wrapped: r1  0.863 full 0.00 robust 0.00 shift: r1  0.617 full 0.00 robust 0.00 | inv 4.4e-16 | 783s
n=32 T= 64 b=4.0 | real r1 -0.285 sE 0.803 | mis r1  0.504 | v2: r1  0.453 full 0.00 robust 0.88 wrapped: r1  0.538 full 0.00 robust 1.00 shift: r1  0.486 full 0.00 robust 0.75 | inv 8.9e-16 | 793s
n=32 T= 64 b=6.0 | real r1 -0.909 sE 0.926 | mis r1  0.897 | v2: r1  0.627 full 0.00 robust 1.00 wrapped: r1  0.651 full 0.00 robust 1.00 shift: r1  0.689 full 0.00 robust 1.00 | inv 8.9e-16 | 803s
n=32 T= 64 b=8.0 | real r1 -0.954 sE 0.970 | mis r1  0.902 | v2: r1  0.530 full 0.00 robust 1.00 wrapped: r1  0.508 full 0.00 robust 1.00 shift: r1  0.676 full 0.00 robust 1.00 | inv 8.9e-16 | 813s
n=32 T=128 b=2.0 | real r1  0.894 sE 0.604 | mis r1  0.838 | v2: r1  0.932 full 0.00 robust 0.00 wrapped: r1  0.929 full 0.00 robust 0.00 shift: r1  0.707 full 0.00 robust 0.00 | inv 8.9e-16 | 871s
n=32 T=128 b=4.0 | real r1 -0.019 sE 0.776 | mis r1  0.143 | v2: r1  0.564 full 0.00 robust 1.00 wrapped: r1  0.492 full 0.00 robust 1.00 shift: r1 -0.011 full 0.00 robust 0.62 | inv 1.8e-15 | 929s
n=32 T=128 b=6.0 | real r1 -0.870 sE 0.884 | mis r1  0.933 | v2: r1  0.859 full 1.00 robust 1.00 wrapped: r1  0.865 full 0.88 robust 1.00 shift: r1  0.883 full 1.00 robust 1.00 | inv 1.8e-15 | 987s
n=32 T=128 b=8.0 | real r1 -0.958 sE 0.959 | mis r1  0.948 | v2: r1  0.797 full 0.38 robust 1.00 wrapped: r1  0.841 full 0.62 robust 1.00 shift: r1  0.836 full 0.75 robust 1.00 | inv 1.8e-15 | 1044s
n=32 T=256 b=2.0 | real r1  0.911 sE 0.534 | mis r1  0.880 | v2: r1  0.970 full 0.00 robust 0.00 wrapped: r1  0.968 full 0.00 robust 0.00 shift: r1  0.874 full 0.00 robust 0.00 | inv 8.9e-16 | 1448s
n=32 T=256 b=4.0 | real r1  0.146 sE 0.669 | mis r1 -0.179 | v2: r1  0.791 full 0.50 robust 1.00 wrapped: r1  0.822 full 0.50 robust 1.00 shift: r1 -0.505 full 0.00 robust 0.00 | inv 1.8e-15 | 1852s
n=32 T=256 b=6.0 | real r1 -0.865 sE 0.887 | mis r1  0.939 | v2: r1  0.938 full 1.00 robust 1.00 wrapped: r1  0.942 full 1.00 robust 1.00 shift: r1  0.911 full 0.62 robust 1.00 | inv 1.8e-15 | 2255s
n=32 T=256 b=8.0 | real r1 -0.958 sE 0.964 | mis r1  0.982 | v2: r1  0.954 full 1.00 robust 1.00 wrapped: r1  0.959 full 1.00 robust 1.00 shift: r1  0.947 full 1.00 robust 1.00 | inv 1.8e-15 | 2658s
CONTROL_TOY2_DONE
